Date,Date_YMD,Status,Confirmed,CCumulative, Deceased,DCumulative
24-Sep-20,9/24/2020,Confirmed,4340,196888,16,805
25-Sep-20,9/25/2020,Confirmed,4208,201096,15,820
26-Sep-20,9/26/2020,Confirmed,4356,205452,16,836
27-Sep-20,9/27/2020,Confirmed,3922,209374,14,850
28-Sep-20,9/28/2020,Confirmed,3235,212609,16,866
29-Sep-20,9/29/2020,Confirmed,3067,215676,15,881
30-Sep-20,9/30/2020,Confirmed,3443,219119,14,895
1-Oct-20,10/1/2020,Confirmed,3615,222734,17,912
2-Oct-20,10/2/2020,Confirmed,3600,226334,16,928
3-Oct-20,10/3/2020,Confirmed,3053,229387,17,945
4-Oct-20,10/4/2020,Confirmed,3326,232713,15,960
5-Oct-20,10/5/2020,Confirmed,2617,235330,17,977
6-Oct-20,10/6/2020,Confirmed,2673,238003,16,993
7-Oct-20,10/7/2020,Confirmed,2995,240998,18,1011
8-Oct-20,10/8/2020,Confirmed,3144,244142,16,1027
9-Oct-20,10/9/2020,Confirmed,2697,246839,17,1044
10-Oct-20,10/10/2020,Confirmed,2854,249693,15,1059
11-Oct-20,10/11/2020,Confirmed,2546,252239,16,1075
12-Oct-20,10/12/2020,Confirmed,2423,254662,18,1093
13-Oct-20,10/13/2020,Confirmed,2275,256937,17,1110
14-Oct-20,10/14/2020,Confirmed,2604,259541,15,1125
15-Oct-20,10/15/2020,Confirmed,2470,262011,17,1142
16-Oct-20,10/16/2020,Confirmed,2138,264149,15,1157
17-Oct-20,10/17/2020,Confirmed,2196,266345,17,1174
18-Oct-20,10/18/2020,Confirmed,2019,268364,14,1188
19-Oct-20,10/19/2020,Confirmed,1982,270346,17,1205
20-Oct-20,10/20/2020,Confirmed,1904,272250,16,1221
21-Oct-20,10/21/2020,Confirmed,1931,274181,13,1234
22-Oct-20,10/22/2020,Confirmed,1913,276094,15,1249
23-Oct-20,10/23/2020,Confirmed,1793,277887,18,1267
24-Oct-20,10/24/2020,Confirmed,1695,279582,15,1282
25-Oct-20,10/25/2020,Confirmed,1633,281215,16,1298
26-Oct-20,10/26/2020,Confirmed,1480,282695,14,1312
27-Oct-20,10/27/2020,Confirmed,1247,283942,13,1325
28-Oct-20,10/28/2020,Confirmed,1540,285482,12,1337
29-Oct-20,10/29/2020,Confirmed,1617,287099,13,1350
30-Oct-20,10/30/2020,Confirmed,1547,288646,11,1361
31-Oct-20,10/31/2020,Confirmed,1470,290116,12,1373
1-Nov-20,11/1/2020,Confirmed,1709,291825,11,1384
2-Nov-20,11/2/2020,Confirmed,1389,293214,9,1393
3-Nov-20,11/3/2020,Confirmed,1201,294415,12,1405
4-Nov-20,11/4/2020,Confirmed,1474,295889,12,1417
5-Nov-20,11/5/2020,Confirmed,1385,297274,14,1431
6-Nov-20,11/6/2020,Confirmed,1494,298768,15,1446
7-Nov-20,11/7/2020,Confirmed,1372,300140,17,1463
8-Nov-20,11/8/2020,Confirmed,1434,301574,15,1478
9-Nov-20,11/9/2020,Confirmed,1219,302793,16,1494
10-Nov-20,11/10/2020,Confirmed,987,303780,13,1507
11-Nov-20,11/11/2020,Confirmed,1220,305000,15,1522
12-Nov-20,11/12/2020,Confirmed,986,305986,14,1536
13-Nov-20,11/13/2020,Confirmed,1018,307004,12,1548
14-Nov-20,11/14/2020,Confirmed,902,307906,15,1563
15-Nov-20,11/15/2020,Confirmed,753,308659,17,1580
16-Nov-20,11/16/2020,Confirmed,749,309408,16,1596
17-Nov-20,11/17/2020,Confirmed,644,310052,17,1613
18-Nov-20,11/18/2020,Confirmed,868,310920,15,1628
19-Nov-20,11/19/2020,Confirmed,868,311788,17,1645
20-Nov-20,11/20/2020,Confirmed,757,312545,16,1661
21-Nov-20,11/21/2020,Confirmed,778,313323,17,1678
22-Nov-20,11/22/2020,Confirmed,638,313961,15,1693
23-Nov-20,11/23/2020,Confirmed,668,314629,17,1710
24-Nov-20,11/24/2020,Confirmed,642,315271,14,1724
25-Nov-20,11/25/2020,Confirmed,730,316001,16,1740
26-Nov-20,11/26/2020,Confirmed,644,316645,17,1757
27-Nov-20,11/27/2020,Confirmed,594,317239,14,1771
28-Nov-20,11/28/2020,Confirmed,550,317789,12,1783
29-Nov-20,11/29/2020,Confirmed,518,318307,4,1787
30-Nov-20,11/30/2020,Confirmed,418,318725,5,1792
1-Dec-20,12/1/2020,Confirmed,378,319103,5,1797
2-Dec-20,12/2/2020,Confirmed,480,319583,6,1803
3-Dec-20,12/3/2020,Confirmed,434,320017,5,1808
4-Dec-20,12/4/2020,Confirmed,377,320394,5,1813
5-Dec-20,12/5/2020,Confirmed,409,320803,5,1818
6-Dec-20,12/6/2020,Confirmed,393,321196,6,1824
7-Dec-20,12/7/2020,Confirmed,368,321564,7,1831
8-Dec-20,12/8/2020,Confirmed,349,321913,6,1837
9-Dec-20,12/9/2020,Confirmed,386,322299,5,1842
10-Dec-20,12/10/2020,Confirmed,343,322642,5,1847
11-Dec-20,12/11/2020,Confirmed,387,323029,4,1851
12-Dec-20,12/12/2020,Confirmed,335,323364,4,1855
13-Dec-20,12/13/2020,Confirmed,393,323757,5,1860
14-Dec-20,12/14/2020,Confirmed,332,324089,4,1864
15-Dec-20,12/15/2020,Confirmed,300,324389,4,1868
16-Dec-20,12/16/2020,Confirmed,407,324796,5,1873
17-Dec-20,12/17/2020,Confirmed,351,325147,5,1878
18-Dec-20,12/18/2020,Confirmed,358,325505,4,1882
19-Dec-20,12/19/2020,Confirmed,356,325861,3,1885
20-Dec-20,12/20/2020,Confirmed,372,326233,4,1889
21-Dec-20,12/21/2020,Confirmed,363,326596,3,1892
22-Dec-20,12/22/2020,Confirmed,319,326915,4,1896
23-Dec-20,12/23/2020,Confirmed,364,327279,3,1899
24-Dec-20,12/24/2020,Confirmed,263,327542,4,1903
25-Dec-20,12/25/2020,Confirmed,325,327867,3,1906
26-Dec-20,12/26/2020,Confirmed,334,328201,4,1910
27-Dec-20,12/27/2020,Confirmed,303,328504,4,1914
28-Dec-20,12/28/2020,Confirmed,234,328738,3,1917
29-Dec-20,12/29/2020,Confirmed,263,329001,4,1921
30-Dec-20,12/30/2020,Confirmed,305,329306,3,1924
31-Dec-20,12/31/2020,Confirmed,315,329621,2,1926
1-Jan-21,1/1/2021,Confirmed,245,329866,3,1929
2-Jan-21,1/2/2021,Confirmed,251,330117,4,1933
3-Jan-21,1/3/2021,Confirmed,192,330309,3,1936
4-Jan-21,1/4/2021,Confirmed,183,330492,2,1938
5-Jan-21,1/5/2021,Confirmed,198,330690,2,1940
6-Jan-21,1/6/2021,Confirmed,231,330921,0,1940
7-Jan-21,1/7/2021,Confirmed,230,331151,1,1941
8-Jan-21,1/8/2021,Confirmed,245,331396,2,1943
9-Jan-21,1/9/2021,Confirmed,206,331602,1,1944
10-Jan-21,1/10/2021,Confirmed,260,331862,0,1944
11-Jan-21,1/11/2021,Confirmed,244,332106,1,1945
12-Jan-21,1/12/2021,Confirmed,225,332331,2,1947
13-Jan-21,1/13/2021,Confirmed,210,332541,1,1948
14-Jan-21,1/14/2021,Confirmed,222,332763,1,1949
15-Jan-21,1/15/2021,Confirmed,186,332949,2,1951
16-Jan-21,1/16/2021,Confirmed,178,333127,1,1952
17-Jan-21,1/17/2021,Confirmed,183,333310,1,1953
18-Jan-21,1/18/2021,Confirmed,134,333444,1,1954
19-Jan-21,1/19/2021,Confirmed,122,333566,1,1955
20-Jan-21,1/20/2021,Confirmed,157,333723,0,1955
21-Jan-21,1/21/2021,Confirmed,143,333866,1,1956
22-Jan-21,1/22/2021,Confirmed,154,334020,0,1956
23-Jan-21,1/23/2021,Confirmed,130,334150,1,1957
24-Jan-21,1/24/2021,Confirmed,150,334300,1,1958
25-Jan-21,1/25/2021,Confirmed,130,334430,1,1959
26-Jan-21,1/26/2021,Confirmed,99,334529,0,1959
27-Jan-21,1/27/2021,Confirmed,138,334667,0,1959
28-Jan-21,1/28/2021,Confirmed,113,334780,0,1959
29-Jan-21,1/29/2021,Confirmed,70,334850,0,1959
30-Jan-21,1/30/2021,Confirmed,108,334958,0,1959
31-Jan-21,1/31/2021,Confirmed,114,335072,0,1959
1-Feb-21,2/1/2021,Confirmed,79,335151,0,1959
2-Feb-21,2/2/2021,Confirmed,60,335211,0,1959
3-Feb-21,2/3/2021,Confirmed,71,335282,0,1959
4-Feb-21,2/4/2021,Confirmed,87,335369,1,1960
5-Feb-21,2/5/2021,Confirmed,97,335466,1,1961
6-Feb-21,2/6/2021,Confirmed,82,335548,1,1962
7-Feb-21,2/7/2021,Confirmed,72,335620,0,1962
8-Feb-21,2/8/2021,Confirmed,72,335692,1,1963
9-Feb-21,2/9/2021,Confirmed,105,335797,0,1963
10-Feb-21,2/10/2021,Confirmed,92,335889,0,1963
11-Feb-21,2/11/2021,Confirmed,95,335984,0,1963
